MARKETING CHI NHÁNH	CNHCM	CNMBC5
TTKH 226 Lê Văn Quới, Bình Tân	1446	1446122
PNJ Bạc Takashimaya	1449	1449123
PNJ SenseCity Phạm Văn Đồng	1418	1418124
PNJ NEXT 196 Hai Bà Trưng, Quận 1	1421	1421125
PNJ Estella	1472	1472126
TTKH 114-116 Nguyễn Oanh, Gò Vấp	1476	1476127
TTKH 473 Huỳnh Tấn Phát, Quận 7	1478	1478128
TTKH 627 Nguyễn Ảnh Thủ, Quận 12	1479	1479129
TTKH 268 Nguyễn Duy Trinh, Thủ Đức	1483	1483130
TTKH 406-408 Tùng Thiện Vương, Quận 8	1496	1496131
Style Aeon Tân Phú	1497	1497132
PNJ Coop Thắng Lợi, Tân Phú	1501	1501133
TTKH 1 Phan Văn Hớn, Quận 12	1482	1482134
TTKH 287A Tô Ngọc Vân, Thủ Đức	1509	1509135
Style Takashimaya	1513	1513136
TTKH 319-321 đường số 7, Bình Tân	1524	1524137
TTKH 294A Ba Tháng Hai, Quận 10	1359	1359138
Style Crescentmall,Quận 7	1536	1536139
TTKH 53 Liêu Bình Hương, Củ Chi	1537	1537140
Style Vạn Hạnh Mall, Quận 10	1547	1547141
TTKH 413 Nguyễn Văn Tăng, Thủ Đức	1549	1549142
TTKH D19/22M Hương lộ 80, Bình Chánh	1551	1551143
TTKH 142 Âu Cơ, Tân Bình	1111	1111144
TTKH 955 Kha Vạn Cân, Thủ Đức	1567	1567145
PNJ Thiso Mall	1568	1568146
PNJWatch 148C Trần Quang Khải, Quận 1	1572	1572147
PNJWatch 147 Quang Trung	1573	1573148
PNJWatch 493 Nguyễn Đình Chiểu	1574	1574149
TTKH 449 - 451 Hồ Học Lãm, Bình Tân	1577	1577150
TTKH 8 Tỉnh Lộ 8, Củ Chi	1582	1582151
TTKH 57/9 ấp Tiền Lân	1583	1583152
PNJ Hùng Vương Plaza	1587	1587153
TTKH 193-195 Lê Văn Thọ, Gò Vấp	1602	1602154
TTKH 1228B-1228C Tỉnh Lộ 10, Tân Tạo	1611	1611155
TTKH 145 Thành Thái, Quận 10	1621	1621156
TTKH Cách mạng tháng 8, Tân Bình	1146	1146157
PNJ Parc Mall Q8	1635	1635158
TTKH 184 Nguyễn Xí, Bình Thạnh	1641	1641159
TTKH 30 Hiệp Bình, Thủ Đức	1643	1643160
TTKH 285 CMT8, Q.10	1650	1650161
